time,value
2015-11-30,4.97369
2015-12-01,4.997602
2015-12-02,5.005573
2015-12-03,4.97369
2015-12-04,4.98166
2015-12-07,5.021514
2015-12-08,5.005573
2015-12-09,4.997602
2015-12-10,4.989632
2015-12-11,4.97369
2015-12-14,4.97369
2015-12-15,4.989918
2015-12-16,4.981804
2015-12-17,4.981804
2015-12-18,5.022372
2015-12-21,4.989918
2015-12-22,5.014258
2015-12-23,5.046713
2015-12-24,5.071054
2015-12-28,5.071054
2015-12-29,5.022372
2015-12-30,5.0548269999999995
2015-12-31,5.038599
2016-01-04,5.022372
2016-01-05,4.981804
2016-01-06,4.998031
2016-01-07,4.998031
2016-01-08,5.038599
2016-01-11,4.97369
2016-01-12,4.97369
2016-01-13,4.908780999999999
2016-01-14,4.8925529999999995
2016-01-15,4.8925529999999995
2016-01-18,4.795189
2016-01-19,4.803303
2016-01-20,4.770847
2016-01-21,4.746507
2016-01-22,4.738394
2016-01-25,4.673483999999999
2016-01-26,4.632915000000001
2016-01-27,4.705939
2016-01-28,4.6410290000000005
2016-01-29,4.673483999999999
2016-02-01,4.6491430000000005
2016-02-02,4.689711
2016-02-03,4.624801000000001
2016-02-04,4.608573000000001
2016-02-05,4.600461
2016-02-11,4.568006
2016-02-12,4.543664
2016-02-15,4.543664
2016-02-16,4.592346
2016-02-17,4.576119
2016-02-18,4.543664
2016-02-19,4.576119
2016-02-22,4.689711
2016-02-23,4.665369999999999
2016-02-24,4.705939
2016-02-25,4.657255999999999
2016-02-26,4.632915000000001
2016-02-29,4.543664
2016-03-01,4.584233
2016-03-02,4.705939
2016-03-03,4.632915000000001
2016-03-04,4.754621
2016-03-07,4.754621
2016-03-08,4.689711
2016-03-09,4.697824
2016-03-10,4.697824
2016-03-11,4.697824
2016-03-14,4.714052
2016-03-15,4.697824
2016-03-16,4.6491430000000005
2016-03-17,4.681597
2016-03-18,4.705939
2016-03-21,4.681597
2016-03-22,4.705939
2016-03-23,4.697824
2016-03-24,4.6491430000000005
2016-03-29,4.689711
2016-03-30,4.681597
2016-03-31,4.705939
2016-04-01,4.689711
2016-04-05,4.705939
2016-04-06,4.697824
2016-04-07,4.689711
2016-04-08,4.705939
2016-04-11,4.778962
2016-04-12,4.762734
2016-04-13,4.787075
2016-04-14,4.803303
2016-04-15,4.803303
2016-04-18,4.803303
2016-04-19,4.795189
2016-04-20,4.705939
2016-04-21,4.738394
2016-04-22,4.754621
2016-04-25,4.762734
2016-04-26,4.81953
2016-04-27,4.81953
2016-04-28,4.787075
2016-04-29,4.81953
2016-05-03,4.787075
2016-05-04,4.787075
2016-05-05,4.787075
2016-05-06,4.787075
2016-05-09,4.787075
2016-05-10,4.787075
2016-05-11,4.778962
2016-05-12,4.795189
2016-05-13,4.778962
2016-05-16,4.762734
2016-05-17,4.770847
2016-05-18,4.778962
2016-05-19,4.738394
2016-05-20,4.705939
2016-05-23,4.730279
2016-05-24,4.705939
2016-05-25,4.746507
2016-05-26,4.730279
2016-05-27,4.730279
2016-05-30,4.803303
2016-05-31,4.8925529999999995
2016-06-01,4.876326000000001
2016-06-02,4.876326000000001
2016-06-03,4.868212000000001
2016-06-06,4.827644
2016-06-07,4.941235
2016-06-08,5.095396
2016-06-10,5.046713
2016-06-13,4.989918
2016-06-14,4.998031
2016-06-15,5.022372
2016-06-16,4.989918
2016-06-17,5.022372
2016-06-20,5.071054
2016-06-21,5.071054
2016-06-22,5.079168
2016-06-23,5.071054
2016-06-24,4.998031
2016-06-27,5.095396
2016-06-28,5.0548269999999995
2016-06-29,5.2008730000000005
2016-06-30,5.184646
2016-07-04,5.176532
2016-07-05,5.160305
2016-07-06,5.135962999999999
2016-07-07,5.111623000000001
2016-07-08,5.119737000000001
2016-07-11,5.184646
2016-07-12,5.144076999999999
2016-07-13,5.152191
2016-07-14,5.176532
2016-07-15,5.152191
2016-07-18,5.152191
2016-07-19,5.160305
2016-07-20,5.152191
2016-07-21,5.168419
2016-07-22,5.257669
2016-07-25,5.2089870000000005
2016-07-26,5.249555
2016-07-27,5.257669
2016-07-28,5.241442
2016-07-29,5.2089870000000005
2016-08-01,5.241442
2016-08-02,5.241442
2016-08-03,5.233328
2016-08-04,5.225214
2016-08-05,5.249555
2016-08-08,5.298238
2016-08-09,5.314465
2016-08-10,5.3631470000000006
