Time,Open,High,Low,Close,Last Trade,Volume
2019-12-19,8.900000,9.000000,8.630000,8.740000,8.540952,12287830
2019-12-20,8.760000,8.770000,8.610000,8.680000,8.482319,10371550
2019-12-23,8.700000,8.750000,8.620000,8.700000,8.501863,2932000
2019-12-24,8.750000,8.870000,8.700000,8.800000,8.599586,3779858
2019-12-27,8.810000,9.080000,8.810000,8.990000,8.785258,11070000
2019-12-30,9.030000,9.060000,8.920000,9.010000,8.804804,4131620
2019-12-31,9.010000,9.030000,8.860000,8.870000,8.667992,5120302
2020-01-02,8.900000,9.360000,8.900000,9.320000,9.107743,18923650
2020-01-03,9.500000,9.680000,9.240000,9.360000,9.146832,15880300
2020-01-06,9.330000,9.330000,9.150000,9.320000,9.107743,8916178
2020-01-07,9.320000,9.560000,9.320000,9.450000,9.234782,11189020
2020-01-08,9.380000,9.480000,9.180000,9.440000,9.225010,10000100
2020-01-09,9.550000,9.830000,9.510000,9.830000,9.606128,15877480
2020-01-10,9.800000,10.080000,9.730000,10.000000,9.772257,20503380
2020-01-13,10.000000,10.060000,9.830000,9.950000,9.723395,11038380
2020-01-14,10.060000,10.420000,9.970000,10.340000,10.104513,21868310
2020-01-15,10.300000,10.300000,10.080000,10.280000,10.045879,11565270
2020-01-16,10.500000,10.520000,10.220000,10.360000,10.124058,13777930
2020-01-17,10.500000,10.560000,10.360000,10.500000,10.260869,9950580
2020-01-20,10.520000,10.520000,9.770000,9.830000,9.606128,37962000
2020-01-21,9.700000,9.700000,9.260000,9.410000,9.195693,36439480
2020-01-22,9.400000,9.640000,9.290000,9.580000,9.361822,14116810
2020-01-23,9.360000,9.570000,8.960000,9.150000,8.941614,23789560
2020-01-24,9.140000,9.300000,8.980000,9.180000,8.970932,9478850
2020-01-29,8.480000,8.940000,8.460000,8.850000,8.648447,34684240
2020-01-30,8.900000,8.900000,8.580000,8.690000,8.492090,24840100
2020-01-31,8.770000,8.990000,8.690000,8.770000,8.570270,17932460
2020-02-03,8.550000,8.980000,8.460000,8.880000,8.677764,28244430
2020-02-04,8.870000,9.030000,8.460000,8.800000,8.599586,34852190
2020-02-05,9.080000,9.120000,8.600000,8.690000,8.492090,26946090
2020-02-06,8.700000,9.190000,8.700000,9.190000,8.980703,22236200
2020-02-07,9.130000,9.240000,9.020000,9.170000,8.961160,17811520
2020-02-10,9.040000,9.180000,8.910000,8.970000,8.765715,12864440
2020-02-11,8.990000,9.150000,8.920000,9.080000,8.873209,7199054
2020-02-12,9.130000,9.610000,9.050000,9.580000,9.361822,19849540
2020-02-13,9.600000,9.880000,9.500000,9.820000,9.596355,25002120
2020-02-14,9.860000,9.860000,9.570000,9.620000,9.400910,16321170
2020-02-17,9.590000,9.720000,9.400000,9.450000,9.234782,12867000
2020-02-18,9.520000,9.540000,9.230000,9.380000,9.166377,17800820
2020-02-19,9.500000,9.530000,9.320000,9.450000,9.234782,7754000
2020-02-20,9.480000,9.560000,9.240000,9.320000,9.107743,11253000
2020-02-21,9.300000,9.350000,9.160000,9.190000,8.980703,9871983
2020-02-24,9.100000,9.120000,8.880000,8.960000,8.755942,10752390
2020-02-25,8.820000,9.170000,8.820000,9.090000,8.882981,9729586
2020-02-26,9.000000,9.140000,8.880000,8.990000,8.785258,6938000
2020-02-27,8.850000,9.050000,8.800000,9.000000,8.795031,7303460
2020-02-28,8.740000,8.870000,8.650000,8.820000,8.619130,15505860
2020-03-02,8.800000,8.910000,8.650000,8.780000,8.580041,12567590
2020-03-03,8.880000,9.070000,8.750000,8.850000,8.648447,12041420
2020-03-04,8.810000,8.850000,8.630000,8.690000,8.492090,6177784
2020-03-05,8.840000,8.920000,8.660000,8.900000,8.697308,12179350
2020-03-06,8.760000,8.760000,8.640000,8.700000,8.501863,6997826
2020-03-09,8.500000,8.550000,7.980000,8.060000,7.876439,19309330
2020-03-10,8.010000,8.490000,7.880000,8.440000,8.247785,20952050
2020-03-11,8.540000,8.600000,8.280000,8.310000,8.120746,9239108
2020-03-12,8.180000,8.180000,7.840000,7.990000,7.808033,13560880
2020-03-13,7.620000,7.820000,7.350000,7.820000,7.641905,28319820
2020-03-16,7.500000,7.610000,7.130000,7.250000,7.084886,15563940
2020-03-17,7.060000,7.300000,6.640000,7.030000,6.869896,33232190
2020-03-18,6.900000,7.150000,6.410000,6.560000,6.410600,28877840
2020-03-19,6.390000,6.500000,5.820000,6.100000,5.961076,35224060
2020-03-20,6.150000,6.550000,6.000000,6.450000,6.303105,58335600
2020-03-23,6.130000,6.210000,5.860000,5.900000,5.765632,24574720
2020-03-24,6.150000,6.620000,6.050000,6.510000,6.361739,30555050
2020-03-25,6.870000,6.970000,6.670000,6.830000,6.674451,49670120
2020-03-26,7.090000,7.090000,6.760000,6.800000,6.645134,13641150
2020-03-27,6.760000,6.880000,6.510000,6.660000,6.508323,14361740
2020-03-30,6.470000,6.700000,6.320000,6.450000,6.303105,9096271
2020-03-31,6.500000,6.690000,6.430000,6.550000,6.400828,12857140
2020-04-01,6.540000,6.680000,6.340000,6.470000,6.322650,7252491
2020-04-02,6.380000,6.540000,6.280000,6.330000,6.185838,14110380
2020-04-03,6.290000,6.520000,6.280000,6.480000,6.332422,12931280
2020-04-06,6.580000,6.820000,6.400000,6.720000,6.566956,7539989
2020-04-07,6.830000,7.030000,6.740000,7.030000,6.869896,13746920
2020-04-08,6.860000,7.030000,6.860000,6.980000,6.821035,6567440
